ticker,date_a,date_b,distance,similarity,len_a,len_b,sentiment
0001058299,2016-03-04,2015-03-06,946,0.94529262086514,8908,8384,0.018721929824561404
0001058299,2015-03-06,2014-03-14,1847,0.8864781807006761,8384,7886,-0.022770394736842104
0001058299,2014-03-14,2013-03-15,1105,0.9295100791018117,7886,7790,0.0
0001058299,2013-03-15,2012-03-14,1221,0.9169161676646707,7790,6906,-0.00705036496350365
0001058299,2012-03-14,2011-03-15,1354,0.90456723992106,6906,7282,-0.033818987341772154
0001058299,2011-03-15,2010-03-16,2456,0.8337169939065674,7282,7488,0.022209090909090907
0001058299,2010-03-16,2009-03-13,2401,0.8176501860712387,7488,5679,-0.0036852459016393432
0001058299,2009-03-13,2008-03-14,4006,0.5917244190786792,5679,4133,0.0024869257950530044
0001058299,2008-03-14,2007-03-16,682,0.9160408715991628,4133,3990,0.04847741935483871
0001058299,2007-03-16,2006-03-16,1629,0.7839809043893383,3990,3551,0.0008540909090909087
0001058307,2025-03-24,2024-04-11,2447,0.9544303326008418,27217,26481,-0.030562376237623763
0001058307,2024-04-11,2021-03-22,22163,0.3734132481411325,26481,8890,0.0034078737647433854
0001058307,2021-03-22,2020-03-30,4339,0.7325402206743512,8890,7333,-0.01648286937901499
0001058307,2020-03-30,2019-03-29,1419,0.8990035587188612,7333,6717,0.009808839779005525
0001058307,2019-03-29,2018-04-02,811,0.9404070835476523,6717,6892,0.023714285714285716
0001058307,2018-04-02,2017-04-07,2284,0.8138852672750978,6892,5380,-0.010474107142857143
0001058307,2017-04-07,2016-03-30,130,0.987847059923343,5380,5317,0.0025949152542372885
0001058307,2016-03-30,2015-03-26,426,0.9586206896551724,5317,4978,0.0030924242424242424
0001058307,2015-03-26,2014-03-31,4958,0.009588493807431098,4978,28,0.010676730339866039
0001058307,2014-03-31,2013-04-16,0,1.0,28,28,0
0001058307,2013-04-16,2012-03-30,0,1.0,28,28,0
0001058307,2012-03-30,2011-03-30,0,1.0,28,28,0
0001058307,2011-03-30,2010-04-08,4,0.9298245614035088,28,29,0.0
0001058307,2010-04-08,2009-04-15,0,1.0,29,29,0
0001058322,2010-05-13,2009-04-15,417,0.8736363636363637,1583,1717,0.0229015625
0001058322,2009-04-15,2008-04-14,676,0.7951515151515152,1717,1583,0.030321768707482995
0001058330,2021-04-21,2020-05-28,862,0.9504939122444291,8965,8447,0.0
0001058330,2020-05-28,2019-11-22,555,0.9663330300272975,8447,8038,0.052727272727272734
0001058330,2019-11-22,2019-03-21,2718,0.8066306203756403,8038,6018,0.007433593750000001
0001058330,2019-03-21,2018-12-27,0,1.0,6018,6018,0
0001058330,2018-12-27,2015-04-27,149,0.9877708470124754,6018,6166,0.007805714285714286
0001058330,2015-04-27,2014-04-15,337,0.9719517270079068,6166,5849,-0.0080125
0001058330,2014-04-15,2013-04-16,227,0.9807365919891378,5849,5935,0.038274999999999997
