ticker
CDNS
CDW
CEG
CFG
CG
CHD
CHTR
CI
CIEN
CINF
CL
CMCSA
CME
CMG
CMI
CMS
CNP
COF
COIN
COP
COR
COST
CPAY
CPNG
CPRT
CRDO
CRH
CRM
CRWD
CSCO
CSGP
CSX
CTAS
CTRA
CTSH
CTVA
CUKPF
CVNA
CVS
CVX
CW
D
DAL
DASH
DD
DDOG
DE
DELL
DG
DGX
DHI
DHR
DIS
DKNG
DKS
DLTR
DOV
DRI
DTE
DUK
DVN
DXCM
EA
EBAY
ECL
ED
EFX
EIX
EL
ELV
EME
EMR
EOG
EQT
ES
ETR
EW
EXC
EXE
EXPE
F
FANG
FAST
FCNCA
FCNCB
FCX
FDX
FE
FERG
FFIV
FI
FICO
FIS
FITB
FIX
FLEX
FLUT
FMCC
FNMA
FOX
FOXA
FSLR
FTAI
FTNT
GD
GDDY
GE
GEHC
GEV
GILD
GIS
GLW
GM
GOOG
GOOGL
GPC
GPN
GS
GWRE
GWW
HAL
HBAN
HCA
HD
HEI
HIG
HLT
HON
HOOD
HPE
HPQ
HSY
HUBB
HUBS
HUM
HWM
IBKR
IBM
ICE
IDXX
INSM
INTC
INTU
IONQ
IOT
IP
IQV
IR
ISRG
IT
ITW
JBL
JCI
JNJ
JPM
K
KDP
KEY
KEYS
KHC
KKR
KLAC
KMB
KMI
KO
KR
KVUE
L
LDOS
LEN
LH
LHX
LII
LIN
LLY
LMT
LNG
LOW
LPLA
LRCX
LVS
LYV
MA
MAR
MCD
MCHP
MCK
MCO
MDB
MDLZ
MET
META
MKL
MLM
MMC
MMM
MNST
MO
MPC
MPWR
MRK
MRVL
MS
MSCI
MSFT
MSI
MSTR
MTB
MTD
MU
NDAQ
NEE
NEM
NET
NFLX
NI
NKE
NOC
NOW
NRG
NSC
NTAP
NTNX
NTRA
NTRS
NUE
NVDA
NVR
ODFL
OKE
ON
ORCL
ORLY
OTIS
OWL
OXY
PANW
PAYX
PCAR
PCG
PEG
PEP
PFE
PG
PGR
PH
PHM
PINS
PKG
PLTR
PM
PNC
PODD
PPG
PPL
PRU
PSTG
PSX
PTC
PWR
PYPL
QCOM
RBA
RBLX
RCL
RDDT
REGN
RF
RJF
RKLB
RKT
RL
RMD
ROK
ROL
ROP
ROST
RPRX
RSG
RTX
SATS
SBUX
SCCO
SCHW
SHW
SLB
SMCI
SNOW
SNPS
SO
SOFI
SPGI
SRE
SSNC
STE
STLD
STT
STX
STZ
SYF
SYK
SYM
SYY
T
TDG
TDY
TER
TFC
TGT
TJX
TKO
TLN
TMO
TMUS
TOST
TPG
TPL
TPR
TRGP
TRMB
TROW
TRV
TSCO
TSLA
TSN
TTD
TTWO
TW
TXN
TYL
U
UAL
UBER
UI
ULTA
UNH
UNP
UPS
URI
USB
UTHR
V
VEEV
VG
VLO
VLTO
VMC
VRSK
VRSN
VRT
VRTX
VST
VZ
WAB
WAT
WBD
WDAY
WDC
WEC
WFC
WM
WMB
WMT
WRB
WSM
WST
XEL
XOM
XYL
XYZ
YUM
Z
ZBH
ZG
ZM
ZS
ZTS
