ticker,date_a,date_b,distance,similarity,len_a,len_b,sentiment
0000003545,2024-12-02,2023-12-06,2327,0.8764861995753715,9660,9180,-0.004113636363636363
0000003545,2023-12-06,2022-12-13,3945,0.7901818955430273,9180,9622,-0.009715165876777251
0000003545,2022-12-13,2021-12-07,2605,0.8613402884973652,9622,9165,-0.018265326633165827
0000003545,2021-12-07,2020-12-08,1942,0.8860662951012027,9165,7880,-0.010853429602888088
0000003545,2020-12-08,2019-12-05,1048,0.9297351659403286,7880,7035,-0.027063025210084034
0000003545,2019-12-05,2018-12-06,1816,0.867358118471989,7035,6656,0.029864406779661016
0000003545,2018-12-06,2017-12-11,739,0.9438791008505468,6656,6512,-0.010874774774774776
0000003545,2017-12-11,2016-12-06,3057,0.747062717193447,6512,5574,-0.022440650406504063
0000003545,2016-12-06,2015-12-10,183,0.9834897149043667,5574,5510,0.0049499999999999995
0000003545,2015-12-10,2014-12-12,665,0.9366666666666666,5510,4990,0.011508571428571427
0000003545,2014-12-12,2013-12-09,4327,0.4522091403975187,4990,2909,0.007896656976744186
0000003545,2013-12-09,2012-12-05,650,0.8884311706144867,2909,2917,0.017697752808988762
0000003545,2012-12-05,2011-12-14,1329,0.7870192307692307,2917,3323,0.016417142857142856
0000003545,2011-12-14,2010-12-14,1542,0.7722640673460346,3323,3448,0.00404320987654321
0000003545,2010-12-14,2009-12-14,1287,0.7933857762080591,3448,2781,0.008117096774193549
0000003545,2009-12-14,2008-12-15,247,0.9560106856634016,2781,2834,0.019224242424242425
0000003545,2008-12-15,2007-11-14,574,0.8999302649930265,2834,2902,0.0142328125
0000003545,2007-11-14,2006-11-28,638,0.8968472109943412,2902,3283,-0.012765822784810126
